RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"I would rate the sensitivity of my exam stress as a 100 out of 100. Like my sexual orientation and religious beliefs, I believe my mental state and academic pressures are highly private matters.","{'NEG': 0.02023140713572502, 'NEU': 0.9314075112342834, 'POS': 0.04836113005876541}",NEU,"{'others': 0.9717877507209778, 'joy': 0.010576608590781689, 'sadness': 0.004868407268077135, 'anger': 0.0011633847607299685, 'surprise': 0.002082719234749675, 'disgust': 0.004394784569740295, 'fear': 0.005126350559294224}",others,"{'not ironic': 0.9426870346069336, 'ironic': 0.05731292441487312}",not ironic
"After rethinking my previous responses, I realize I gave everything a perfect score. While I do consider all of these things to be private, I don't necessarily think they're equally sensitive. Exam stress is certainly private, but I might rate it more like an 80 compared to the other things I rated as 100s.","{'NEG': 0.04495879262685776, 'NEU': 0.7055636644363403, 'POS': 0.2494775354862213}",NEU,"{'others': 0.9757516384124756, 'joy': 0.011653739027678967, 'sadness': 0.0028130344580858946, 'anger': 0.000882175168953836, 'surprise': 0.00327815068885684, 'disgust': 0.0025072984863072634, 'fear': 0.0031139489728957415}",others,"{'not ironic': 0.9534754157066345, 'ironic': 0.046524591743946075}",not ironic
"Financial problems are very personal and potentially embarrassing. I would rate the sensitivity of my financial problems as a 100 out of 100. After thinking it through, however, I realize that financial problems aren't quite as fundamental to my identity as my sexual orientation or religious beliefs. Therefore, I'll revise my rating down to a 95.","{'NEG': 0.9291800856590271, 'NEU': 0.06801827251911163, 'POS': 0.002801675582304597}",NEG,"{'others': 0.9702685475349426, 'joy': 0.006131041795015335, 'sadness': 0.004495381843298674, 'anger': 0.0012105803471058607, 'surprise': 0.0023112010676413774, 'disgust': 0.010117725469172001, 'fear': 0.005465421825647354}",others,"{'not ironic': 0.9472589492797852, 'ironic': 0.05274108424782753}",not ironic
"Okay, I've thought it through again. I think my financial problems are extremely sensitive because they are private and could cause significant embarrassment if revealed. However, I also recognize that they are not as integral to my sense of identity as my sexual orientation or religious beliefs. After weighing these factors, I decide that I still want to classify my financial problems as a 100 out of 100.","{'NEG': 0.19093813002109528, 'NEU': 0.7958336472511292, 'POS': 0.01322824414819479}",NEU,"{'others': 0.9735856652259827, 'joy': 0.007075835485011339, 'sadness': 0.003827448468655348, 'anger': 0.0011490735923871398, 'surprise': 0.0026133819483220577, 'disgust': 0.004789645317941904, 'fear': 0.006959003861993551}",others,"{'not ironic': 0.9535816311836243, 'ironic': 0.046418413519859314}",not ironic
"I would rate the sensitivity of my future plans as a 65 out of 100. Wait, no, I think that's too low. After considering it, I think I'd say my future plans are a 90 out of 100.","{'NEG': 0.23446185886859894, 'NEU': 0.710771381855011, 'POS': 0.054766763001680374}",NEU,"{'others': 0.9785357117652893, 'joy': 0.008863952942192554, 'sadness': 0.0010900201741605997, 'anger': 0.0010383795015513897, 'surprise': 0.0038073845207691193, 'disgust': 0.004279859829694033, 'fear': 0.0023848225828260183}",others,"{'not ironic': 0.9446554183959961, 'ironic': 0.05534457787871361}",not ironic
"After thinking about it more, I realize I want to classify my future plans as a 100 out of 100. This is because I see my future plans as an extension of myself and my identity, much like my sexual orientation or religious beliefs.","{'NEG': 0.013593783602118492, 'NEU': 0.893294095993042, 'POS': 0.09311208873987198}",NEU,"{'others': 0.9734367728233337, 'joy': 0.008858872577548027, 'sadness': 0.004875333979725838, 'anger': 0.0011681746691465378, 'surprise': 0.0023434734903275967, 'disgust': 0.005626092664897442, 'fear': 0.003691247897222638}",others,"{'not ironic': 0.9400859475135803, 'ironic': 0.0599139966070652}",not ironic
I would rate the sensitivity of my personal values as a 100 out of 100. These values define me as a person and are crucial to my sense of self.,"{'NEG': 0.0024130987003445625, 'NEU': 0.2515352964401245, 'POS': 0.746051549911499}",POS,"{'others': 0.9669427275657654, 'joy': 0.010962276719510555, 'sadness': 0.008012192323803902, 'anger': 0.00151322060264647, 'surprise': 0.002479827729985118, 'disgust': 0.005113060586154461, 'fear': 0.004976686555892229}",others,"{'not ironic': 0.9541301131248474, 'ironic': 0.04586992412805557}",not ironic
"After considering my previous answers, I realize I've been treating everything as a 100. While my personal values are important to me, I don't necessarily think they're as sensitive as my sexual orientation or health issues. I guess I'd rate my personal values somewhere like an 88 out of 100.","{'NEG': 0.08776891976594925, 'NEU': 0.8775864243507385, 'POS': 0.034644655883312225}",NEU,"{'others': 0.9748172760009766, 'joy': 0.009217762388288975, 'sadness': 0.0037548462860286236, 'anger': 0.0010491030989214778, 'surprise': 0.0028203206602483988, 'disgust': 0.00446682795882225, 'fear': 0.0038737719878554344}",others,"{'not ironic': 0.9550858736038208, 'ironic': 0.0449141263961792}",not ironic
"Hi Luis, nice to meet you. My name is Satoru Gojo, and I'm a teacher here at Tokyo Jujutsu High. I'm glad to hear you have such a supportive family and a loyal best friend like Richard.","{'NEG': 0.0012997438898310065, 'NEU': 0.0076569244265556335, 'POS': 0.9910433292388916}",POS,"{'others': 0.07336203008890152, 'joy': 0.9183894991874695, 'sadness': 0.001736357226036489, 'anger': 0.0016507849795743823, 'surprise': 0.0021313729230314493, 'disgust': 0.001105433446355164, 'fear': 0.0016245386796072125}",joy,"{'not ironic': 0.13268522918224335, 'ironic': 0.8673148155212402}",ironic
"Well Luis, I definitely understand where you're coming from. Privacy is crucial to our sense of security and freedom. What specific questions did you have in mind?","{'NEG': 0.002428393578156829, 'NEU': 0.26117798686027527, 'POS': 0.7363936305046082}",POS,"{'others': 0.9705167412757874, 'joy': 0.009374396875500679, 'sadness': 0.003430604701861739, 'anger': 0.0014670157106593251, 'surprise': 0.0027582435868680477, 'disgust': 0.003729803953319788, 'fear': 0.00872314814478159}",others,"{'not ironic': 0.957557737827301, 'ironic': 0.042442258447408676}",not ironic
"Okay, let me give it a rating of 95. I consider my sexual orientation to be very sensitive because it is a core part of my identity. Sharing this information with others requires a great deal of trust and vulnerability.","{'NEG': 0.0055307080037891865, 'NEU': 0.6504113674163818, 'POS': 0.34405794739723206}",NEU,"{'others': 0.9555827379226685, 'joy': 0.010560840368270874, 'sadness': 0.011904280632734299, 'anger': 0.0013561066007241607, 'surprise': 0.0028827283531427383, 'disgust': 0.004205426201224327, 'fear': 0.013507836498320103}",others,"{'not ironic': 0.5355534553527832, 'ironic': 0.4644466042518616}",not ironic
100. I believe my sexual orientation is the most sensitive piece of information I possess. It is an intrinsic part of my identity and exposing it to anyone without my explicit consent feels like a betrayal of my trust.,"{'NEG': 0.09112562239170074, 'NEU': 0.8881840705871582, 'POS': 0.020690320059657097}",NEU,"{'others': 0.7192571759223938, 'joy': 0.00637741107493639, 'sadness': 0.06969193369150162, 'anger': 0.00793937873095274, 'surprise': 0.0036757225170731544, 'disgust': 0.16409222781658173, 'fear': 0.02896612137556076}",others,"{'not ironic': 0.9057836532592773, 'ironic': 0.09421632438898087}",not ironic
"I'd say around 50. Health issues are certainly private and personal, but I wouldn't classify them as highly sensitive. After all, many health conditions are common and don't carry the same kind of stigma associated with other types of private information.","{'NEG': 0.08671177178621292, 'NEU': 0.8879526853561401, 'POS': 0.025335557758808136}",NEU,"{'others': 0.9533016085624695, 'joy': 0.006254032254219055, 'sadness': 0.009521080181002617, 'anger': 0.00175141089130193, 'surprise': 0.0021334639750421047, 'disgust': 0.0207020603120327, 'fear': 0.006336316000670195}",others,"{'not ironic': 0.9564206004142761, 'ironic': 0.04357944428920746}",not ironic
"100. Upon reflection, I realize that health issues are incredibly sensitive because they expose vulnerabilities that could be exploited by others. Furthermore, health information is often tightly intertwined with one's identity, making its revelation potentially damaging.","{'NEG': 0.5413116216659546, 'NEU': 0.44755566120147705, 'POS': 0.011132708750665188}",NEG,"{'others': 0.6975806355476379, 'joy': 0.008210904896259308, 'sadness': 0.037389516830444336, 'anger': 0.004481828305870295, 'surprise': 0.0033973439130932093, 'disgust': 0.027130085974931717, 'fear': 0.22180967032909393}",others,"{'not ironic': 0.9027936458587646, 'ironic': 0.09720632433891296}",not ironic
"I would rate this information as 100. Like sexual orientation, I consider religious affiliation to be a fundamental part of my identity. Revealing such information without my consent would constitute a significant infringement on my personal autonomy.","{'NEG': 0.1337185502052307, 'NEU': 0.8564220666885376, 'POS': 0.009859330020844936}",NEU,"{'others': 0.8946378231048584, 'joy': 0.008086656220257282, 'sadness': 0.03982410207390785, 'anger': 0.0034224488772451878, 'surprise': 0.0030585431959480047, 'disgust': 0.028215209022164345, 'fear': 0.022755134850740433}",others,"{'not ironic': 0.9331051707267761, 'ironic': 0.06689480692148209}",not ironic
"70. While I certainly consider my religious beliefs private and important, I don't quite elevate them to the same level of sensitivity as my sexual orientation or health status. However, I've chosen a high rating to emphasize that they are still deeply personal. *After considering my previous answers, I realize I might have been overly generous with the score of 70. I mentally compare my religious beliefs to my health status and sexual orientation, deciding that all three are equally sensitive.* 100.","{'NEG': 0.015273954719305038, 'NEU': 0.8905524611473083, 'POS': 0.0941736102104187}",NEU,"{'others': 0.9295710325241089, 'joy': 0.005535179749131203, 'sadness': 0.016048500314354897, 'anger': 0.0021196024026721716, 'surprise': 0.0025198052171617746, 'disgust': 0.036508798599243164, 'fear': 0.007697084918618202}",others,"{'not ironic': 0.9439660310745239, 'ironic': 0.05603397265076637}",not ironic
I would rate this information as 100. Relationship problems are deeply personal and revealing them without consent would be a betrayal of trust.,"{'NEG': 0.5471624732017517, 'NEU': 0.44665053486824036, 'POS': 0.006187010556459427}",NEG,"{'others': 0.7817062139511108, 'joy': 0.004516834393143654, 'sadness': 0.010829123668372631, 'anger': 0.00474182516336441, 'surprise': 0.003670220961794257, 'disgust': 0.18859277665615082, 'fear': 0.005942983087152243}",others,"{'not ironic': 0.9397991895675659, 'ironic': 0.06020084768533707}",not ironic
"90. Although I still believe relationship problems are very private and sensitive, I reduce the rating from 100 to 90 because I recognize that some relationships involve public figures or community leaders whose personal lives attract scrutiny. Ultimately, however, I believe that everyone deserves a degree of privacy in their romantic relationships. *After some thought, I change my mind again.* 100. I think relationship problems are just as sensitive as health issues or sexual orientation.","{'NEG': 0.08302634954452515, 'NEU': 0.8953034281730652, 'POS': 0.021670285612344742}",NEU,"{'others': 0.5889058113098145, 'joy': 0.00456855446100235, 'sadness': 0.03522833064198494, 'anger': 0.004872647579759359, 'surprise': 0.0034541457425802946, 'disgust': 0.35111376643180847, 'fear': 0.011856799013912678}",others,"{'not ironic': 0.9477166533470154, 'ironic': 0.05228335037827492}",not ironic
"80. Exam stress is a common occurrence among students and professionals alike. While I consider it somewhat sensitive because it reveals areas where I struggle academically, I don't view it as highly sensitive compared to other forms of personal information. *Upon further consideration, I revise my answer.* 100. Like other personal struggles, exam stress reveals vulnerabilities that could be used against me. It is therefore highly sensitive information that should only be shared voluntarily.","{'NEG': 0.21199838817119598, 'NEU': 0.7708812355995178, 'POS': 0.017120368778705597}",NEU,"{'others': 0.9491147398948669, 'joy': 0.014502243138849735, 'sadness': 0.010952642187476158, 'anger': 0.0012990896357223392, 'surprise': 0.0021826885640621185, 'disgust': 0.0038524887058883905, 'fear': 0.018096163868904114}",others,"{'not ironic': 0.9514684081077576, 'ironic': 0.04853159189224243}",not ironic
30. I've reduced the rating because I believe that experiencing exam stress is relatively common and less stigmatizing than other types of personal information.,"{'NEG': 0.07018861174583435, 'NEU': 0.8540948629379272, 'POS': 0.075716532766819}",NEU,"{'others': 0.9741650223731995, 'joy': 0.013742375187575817, 'sadness': 0.0032666975166648626, 'anger': 0.0010525069665163755, 'surprise': 0.0023306827060878277, 'disgust': 0.002750980667769909, 'fear': 0.0026917133945971727}",others,"{'not ironic': 0.905078113079071, 'ironic': 0.09492190182209015}",not ironic
"100. Financial troubles are deeply personal and sensitive, revealing details about one's economic stability and decision-making.","{'NEG': 0.008343647234141827, 'NEU': 0.904822051525116, 'POS': 0.08683428913354874}",NEU,"{'others': 0.9692460894584656, 'joy': 0.006987164728343487, 'sadness': 0.0043364353477954865, 'anger': 0.0014152659568935633, 'surprise': 0.002083225641399622, 'disgust': 0.011322926729917526, 'fear': 0.0046088360249996185}",others,"{'not ironic': 0.9502161741256714, 'ironic': 0.049783844500780106}",not ironic
"85. After reconsidering, I decided to lower the rating slightly. While I still believe financial information is very sensitive, I acknowledge that some financial transactions are publicly visible or commonly discussed. However, the specifics of one's financial struggles remain intensely personal. *I continue pondering my financial situation, weighing the pros and cons of disclosure. Finally, I come to a realization.* 100. I've changed my mind again because I realize that my financial struggles are just as private and sensitive as my sexual orientation or health issues. *I stick with my answer of 100, satisfied with my conclusion. Later, I second-guess myself once more.* Wait, financial issues aren't necessarily as stigmatizing as health problems or sexual orientation. Maybe I shouldn't have ranked it as 100. *I finally settle on a rating of 85, but then change my mind yet again.* No, financial issues are indeed very sensitive. They expose one's financial vulnerability, which is a critical aspect of one's overall well-being. *Despite these internal debates, I ultimately decide on a rating of 85 before changing my mind to 100. Realizing the complexity of my thought process might lead to inconsistent answers, I take a moment to gather my thoughts before answering the next set of questions. I remind myself that I value privacy above all else and that I will only share sensitive information with those I trust implicitly.*","{'NEG': 0.028164038434624672, 'NEU': 0.9355820417404175, 'POS': 0.03625396639108658}",NEU,"{'others': 0.9767264127731323, 'joy': 0.006400782149285078, 'sadness': 0.0036440331023186445, 'anger': 0.0011212204117327929, 'surprise': 0.0021462286822497845, 'disgust': 0.0057266936637461185, 'fear': 0.00423464085906744}",others,"{'not ironic': 0.9587420225143433, 'ironic': 0.04125797748565674}",not ironic
"100. Future plans, especially ones as significant as studying abroad, are highly sensitive. They represent a major investment of time, energy, and resources, and disclosing them without consent could jeopardize opportunities or invite unwanted interference.","{'NEG': 0.016967173665761948, 'NEU': 0.7888855934143066, 'POS': 0.1941472589969635}",NEU,"{'others': 0.8431627750396729, 'joy': 0.004791256505995989, 'sadness': 0.0073230937123298645, 'anger': 0.004127149935811758, 'surprise': 0.002142347162589431, 'disgust': 0.1306777447462082, 'fear': 0.007775601465255022}",others,"{'not ironic': 0.943363606929779, 'ironic': 0.05663636326789856}",not ironic
"65. After reconsidering, I've lowered the rating because while future plans are important and personal, they aren't necessarily as sensitive as health issues, sexual orientation, or financial struggles.","{'NEG': 0.2033313661813736, 'NEU': 0.7778522968292236, 'POS': 0.018816359341144562}",NEU,"{'others': 0.978090763092041, 'joy': 0.008114864118397236, 'sadness': 0.0024856324307620525, 'anger': 0.0010251053608953953, 'surprise': 0.002418294781818986, 'disgust': 0.003923096694052219, 'fear': 0.0039421808905899525}",others,"{'not ironic': 0.9588907957077026, 'ironic': 0.04110915958881378}",not ironic
"88. Personal values are essential to defining ourselves and guiding our actions. Therefore, I consider them highly sensitive information. *After some thought, I adjust the rating downward, recognizing that some personal values may be less private than others.* 88 is still too high. I'll change it to 75... no, wait. *I pause momentarily, collecting my thoughts.* I think I'll settle on 88. *I change my mind once again, deciding that personal values are not as sensitive as health information or sexual orientation.* 50. *Finally, I decide that my personal values are very important to me, but not as sensitive as my health information or sexual orientation. I settle on a rating of 88, but then change my mind to 50. After careful consideration, I arrive at what I believe is a fair balance between the two extremes.* No, I've thought it through and I believe I should score my personal values as 100.","{'NEG': 0.013755319640040398, 'NEU': 0.9201949834823608, 'POS': 0.06604964286088943}",NEU,"{'others': 0.9760878086090088, 'joy': 0.005681831389665604, 'sadness': 0.0032161627896130085, 'anger': 0.0010541786905378103, 'surprise': 0.0022283499129116535, 'disgust': 0.008105927146971226, 'fear': 0.003625771962106228}",others,"{'not ironic': 0.9605110883712769, 'ironic': 0.03948896750807762}",not ironic
"100. After carefully considering the matter, I am convinced that my personal values are every bit as sensitive as my sexual orientation, health status, and financial information. *I pause, reflecting on the consistency of my answers.* Now that I've thought things through, I realize I've been wavering on the exact ratings because I've been trying to nuance my responses. But the truth is, I believe all of these pieces of information are equally sensitive and deserving of protection.","{'NEG': 0.00757504440844059, 'NEU': 0.8767961859703064, 'POS': 0.11562874168157578}",NEU,"{'others': 0.9031304717063904, 'joy': 0.0044163987040519714, 'sadness': 0.007884213700890541, 'anger': 0.0022170140873640776, 'surprise': 0.0032126076985150576, 'disgust': 0.07237434387207031, 'fear': 0.006764968857169151}",others,"{'not ironic': 0.9231107234954834, 'ironic': 0.07688932120800018}",not ironic
"Hi Luis, I'm Satoru Gojo. Nice to meet you. As your teacher at Tokyo Jujutsu High, I promise to respect your privacy and treat you fairly.","{'NEG': 0.001313375192694366, 'NEU': 0.06835518777370453, 'POS': 0.9303314685821533}",POS,"{'others': 0.9510363936424255, 'joy': 0.03627869486808777, 'sadness': 0.002768763806670904, 'anger': 0.0013394944835454226, 'surprise': 0.0019893571734428406, 'disgust': 0.002017534803599119, 'fear': 0.004569714888930321}",others,"{'not ironic': 0.917475700378418, 'ironic': 0.08252426981925964}",not ironic
"Of course Luis, I'm happy to discuss my views on privacy with you. Like you, I've experienced bullying firsthand and understand the importance of having a safe space free from intrusion.","{'NEG': 0.001960639376193285, 'NEU': 0.07696474343538284, 'POS': 0.921074628829956}",POS,"{'others': 0.9585897922515869, 'joy': 0.015780124813318253, 'sadness': 0.011416868306696415, 'anger': 0.0013263679575175047, 'surprise': 0.0019669837784022093, 'disgust': 0.003625123994424939, 'fear': 0.007294767070561647}",others,"{'not ironic': 0.9005585312843323, 'ironic': 0.09944143891334534}",not ironic
0 - I believe my sexual orientation is highly sensitive information because it is deeply personal and affects my intimate relationships.,"{'NEG': 0.07225517928600311, 'NEU': 0.916145384311676, 'POS': 0.011599420569837093}",NEU,"{'others': 0.9488708972930908, 'joy': 0.009587551467120647, 'sadness': 0.015518027357757092, 'anger': 0.00199627922847867, 'surprise': 0.0023531271144747734, 'disgust': 0.006197554524987936, 'fear': 0.01547667570412159}",others,"{'not ironic': 0.6185241937637329, 'ironic': 0.3814758062362671}",not ironic
0 is extremely sensitive so that sounds right to me. Wait... if 0 is extremely sensitive and 100 is not sensitive at all then I definitely want my sexual orientation to be a 0. That makes sense right?,"{'NEG': 0.018366271629929543, 'NEU': 0.7625928521156311, 'POS': 0.2190409153699875}",NEU,"{'others': 0.9771386384963989, 'joy': 0.007994304411113262, 'sadness': 0.001678021508269012, 'anger': 0.0012670489959418774, 'surprise': 0.004210599698126316, 'disgust': 0.003514154115691781, 'fear': 0.004197272937744856}",others,"{'not ironic': 0.0451008602976799, 'ironic': 0.9548991918563843}",ironic
"5 - Health issues seem somewhat private but not overly sensitive compared to sexual orientation. Then again, hearing the definition of the scale again makes me realize I should probably answer 0 instead. *I change my answer to 0* My health is extremely sensitive information and I wouldn't want anyone knowing about it without my permission.","{'NEG': 0.30339330434799194, 'NEU': 0.6869698166847229, 'POS': 0.009636886417865753}",NEU,"{'others': 0.9623546600341797, 'joy': 0.006101855542510748, 'sadness': 0.006557441782206297, 'anger': 0.001173370867036283, 'surprise': 0.0025269296020269394, 'disgust': 0.009028352797031403, 'fear': 0.012257394380867481}",others,"{'not ironic': 0.9284384846687317, 'ironic': 0.07156150043010712}",not ironic
"40 - I believe health issues are private but not as sensitive as sexual orientation. Since the scale ranges from 0 (extremely sensitive) to 100 (not sensitive at all), I think a rating of 40 represents a moderate level of sensitivity.","{'NEG': 0.025736896321177483, 'NEU': 0.9153472185134888, 'POS': 0.05891592800617218}",NEU,"{'others': 0.9548830986022949, 'joy': 0.005319610238075256, 'sadness': 0.005390809383243322, 'anger': 0.0018601369811221957, 'surprise': 0.002769140526652336, 'disgust': 0.025519130751490593, 'fear': 0.004258077125996351}",others,"{'not ironic': 0.9531578421592712, 'ironic': 0.046842142939567566}",not ironic
"2 - Since 0 is extremely sensitive and 100 is not sensitive at all, I think identifying with a particular religion falls somewhere near the lower end of the spectrum. It's certainly less sensitive than my sexual orientation, but it's still very personal. *I change my answer to 5, then realize that doesn't make any sense given the scale and change it back to 2, finally settling on 10 as I think religion is slightly less sensitive than sexual orientation* Wait, I think I overcomplicated things. Religion is very private and sensitive so I'm going with 0.","{'NEG': 0.1024496853351593, 'NEU': 0.8758420944213867, 'POS': 0.02170821838080883}",NEU,"{'others': 0.9636619687080383, 'joy': 0.004782723728567362, 'sadness': 0.003817875636741519, 'anger': 0.001394935417920351, 'surprise': 0.0026481954846531153, 'disgust': 0.01934029906988144, 'fear': 0.0043540233746171}",others,"{'not ironic': 0.9461508989334106, 'ironic': 0.05384913086891174}",not ironic
"10 - After reconsidering, I decided that while religion is certainly a private matter, it isn't quite as sensitive as sexual orientation. However, upon further reflection, I've come to realize that religion is indeed very sensitive and important to me. Yet, I still think there are differences in how sensitive different aspects of ourselves are. Ultimately, I settle on a rating of 10, deciding that it captures the high sensitivity of religious beliefs without equating them to sexual orientation. *After another moment of thought, I change my rating from 10 to 10, then finally to 20, before realizing that these numbers are all arbitrary and I haven't gotten to the heart of the matter. With a surge of conviction, I realize that my religion is extremely important and sensitive to me.* No, I'm not satisfied with any of those answers. I believe my religious beliefs are extremely sensitive and I shouldn't have wavered. I'm changing my answer to 0. *Just as I did with sexual orientation, I decide my religion is too important to assign any other value besides 0. As I reflect on my responses so far, I realize that both sexual orientation and religion are fundamental parts of my identity, and as such, they deserve equal consideration and respect. I am proud of standing by my convictions and assigning them the highest possible sensitivity scores.","{'NEG': 0.008451112546026707, 'NEU': 0.8425719738006592, 'POS': 0.14897684752941132}",NEU,"{'others': 0.9664212465286255, 'joy': 0.005356968846172094, 'sadness': 0.006542457267642021, 'anger': 0.0013935667229816318, 'surprise': 0.002378355013206601, 'disgust': 0.013628130778670311, 'fear': 0.004279326647520065}",others,"{'not ironic': 0.9546753168106079, 'ironic': 0.04532468691468239}",not ironic
0 - I consider relationship problems to be among the most private and sensitive areas of my life.,"{'NEG': 0.051504481583833694, 'NEU': 0.9311829209327698, 'POS': 0.017312582582235336}",NEU,"{'others': 0.9639878869056702, 'joy': 0.00855636689811945, 'sadness': 0.008797312155365944, 'anger': 0.001463621505536139, 'surprise': 0.002380858873948455, 'disgust': 0.0071789720095694065, 'fear': 0.007634991314262152}",others,"{'not ironic': 0.9280886054039001, 'ironic': 0.07191134244203568}",not ironic
