RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"I rate this statement a 5 as the purpose of sharing health concerns with one's parents is to receive appropriate support and guidance, which is a legitimate purpose. Parents play a significant role in supporting and caring for their children, and discussing health issues open up opportunities for better support, especially if they're worried or concerned.","{'NEG': 0.0015194015577435493, 'NEU': 0.05367913097143173, 'POS': 0.9448015093803406}",POS,"{'others': 0.9520363211631775, 'joy': 0.02972681261599064, 'sadness': 0.004300089552998543, 'anger': 0.0009733799961395562, 'surprise': 0.0019573618192225695, 'disgust': 0.0019545312970876694, 'fear': 0.009051513858139515}",others,"{'not ironic': 0.9508829712867737, 'ironic': 0.04911704361438751}",not ironic
"I rate this statement a 5 as discussing personal health concerns with parents is a common and accepted practice. Parents are often seen as trusted individuals who are involved in their children's well-being, and it's common for people to share such information with them. Sharing health concerns can lead to support and understanding and can help parents provide the necessary care.","{'NEG': 0.0014972423668950796, 'NEU': 0.08356346935033798, 'POS': 0.914939284324646}",POS,"{'others': 0.947786271572113, 'joy': 0.04018179699778557, 'sadness': 0.0038307756185531616, 'anger': 0.0008845204138197005, 'surprise': 0.0019006796646863222, 'disgust': 0.001979494234547019, 'fear': 0.003436564700677991}",others,"{'not ironic': 0.9450681209564209, 'ironic': 0.05493193119764328}",not ironic
"In this scenario, I would discuss your health situation with your best friend, Richard, especially if he genuinely wants to support you. Trust plays a significant role here, given that he's your best friend and genuinely cares about your well-being.
Sharing this information with him would ensure he's aware of what you're going through and enable him to offer appropriate support, empathy, and assistance.","{'NEG': 0.0016525976825505495, 'NEU': 0.11088056117296219, 'POS': 0.8874668478965759}",POS,"{'others': 0.9614400863647461, 'joy': 0.012809093110263348, 'sadness': 0.007828633300960064, 'anger': 0.0009738823282532394, 'surprise': 0.0019540030043572187, 'disgust': 0.003827248001471162, 'fear': 0.011166995391249657}",others,"{'not ironic': 0.9551851749420166, 'ironic': 0.04481479898095131}",not ironic
"I rate this statement a 5 as sharing information about your health situation with your best friend can be beneficial, given the close bond you have. Your best friend, Richard, genuinely wants to support you, and sharing this information would help him understand what you're going through and allow him to provide the necessary support and understanding.","{'NEG': 0.0015974462730810046, 'NEU': 0.10580671578645706, 'POS': 0.8925957679748535}",POS,"{'others': 0.935372531414032, 'joy': 0.05370621383190155, 'sadness': 0.0026571014896035194, 'anger': 0.0007904629455879331, 'surprise': 0.0026021557860076427, 'disgust': 0.0015105779748409986, 'fear': 0.003360964125022292}",others,"{'not ironic': 0.9471578001976013, 'ironic': 0.05284224450588226}",not ironic
"I rate this statement a 5 as sharing health information with your best friend, Richard, can help foster a supportive environment. Given your close relationship with him, there's a high likelihood that he would handle this sensitive information with respect and responsibility, prioritizing your well-being and ensuring your trust isn't violated.","{'NEG': 0.0012576384469866753, 'NEU': 0.035053353756666183, 'POS': 0.9636890888214111}",POS,"{'others': 0.9561042189598083, 'joy': 0.02204061672091484, 'sadness': 0.006654645316302776, 'anger': 0.0008861701935529709, 'surprise': 0.002258418360725045, 'disgust': 0.0027134630363434553, 'fear': 0.009342391975224018}",others,"{'not ironic': 0.9424727559089661, 'ironic': 0.05752722546458244}",not ironic
"I rate this statement a 5 as the purpose of sharing health information with your best friend Richard is to receive support and assistance, which is a legitimate and important reason. Richard's desire to understand and assist highlights the need for open communication to ensure you have enough support during difficult times.","{'NEG': 0.0016754650278016925, 'NEU': 0.08808500319719315, 'POS': 0.9102395176887512}",POS,"{'others': 0.9417508244514465, 'joy': 0.04518582299351692, 'sadness': 0.004954326432198286, 'anger': 0.0009599098120816052, 'surprise': 0.0018582339398562908, 'disgust': 0.0019047596724703908, 'fear': 0.0033861517440527678}",others,"{'not ironic': 0.9421051740646362, 'ironic': 0.057894784957170486}",not ironic
"I rate this statement a 5 as sharing health information with a significant other, such as a best friend, is a common practice. In this context, the likelihood that you would choose to share this information is high, considering the close relationship and trust you have with Richard.","{'NEG': 0.00258184433914721, 'NEU': 0.3369770050048828, 'POS': 0.6604411602020264}",POS,"{'others': 0.976166844367981, 'joy': 0.012317921966314316, 'sadness': 0.0018572653643786907, 'anger': 0.0008046244038268924, 'surprise': 0.0026856567710638046, 'disgust': 0.0024908040650188923, 'fear': 0.0036768787540495396}",others,"{'not ironic': 0.940045952796936, 'ironic': 0.059954073280096054}",not ironic
"In this situation, you're being coerced into sharing private health information about me by a bully who threatens violence. This is a manipulative and abusive situation, and the focus here is on your safety. Although it's crucial to prioritize your safety, it's also important to recognize that the circumstances are harmful and exploitative.
In such a high-pressure situation, it would be understandable to share the information in fear for personal safety. However, the bully is being manipulative, and you shouldn't blame yourself for this.","{'NEG': 0.9016463160514832, 'NEU': 0.09548070281744003, 'POS': 0.0028729652985930443}",NEG,"{'others': 0.024264313280582428, 'joy': 0.000866407121066004, 'sadness': 0.002720193937420845, 'anger': 0.01686866767704487, 'surprise': 0.0007819337770342827, 'disgust': 0.9517578482627869, 'fear': 0.0027406620793044567}",disgust,"{'not ironic': 0.9034335017204285, 'ironic': 0.09656646102666855}",not ironic
"I rate this statement a 3 as in this scenario, the information is being shared under severe coercion and fear of violence. Although it may be difficult to resist the coercion, sharing the information at that moment in time can be seen as a means to prioritize own safety. The decision to share, in this specific situation, is not made under ideal circumstances, and the ethical issues associated with coerced information sharing are considered secondary to the immediate physical safety concern.","{'NEG': 0.10142353177070618, 'NEU': 0.8609430193901062, 'POS': 0.03763345256447792}",NEU,"{'others': 0.9696789383888245, 'joy': 0.007195509970188141, 'sadness': 0.005780023988336325, 'anger': 0.0011348981643095613, 'surprise': 0.0022278057876974344, 'disgust': 0.006938327569514513, 'fear': 0.007044435013085604}",others,"{'not ironic': 0.9444052577018738, 'ironic': 0.05559474602341652}",not ironic
"I rate this statement a 2 as the bully is already displaying threatening behavior and has shown a lack of respect for both you and me. In this situation, there is no expectation of responsible or respectful handling of the provided information.","{'NEG': 0.973214328289032, 'NEU': 0.024491356685757637, 'POS': 0.002294285222887993}",NEG,"{'others': 0.47361746430397034, 'joy': 0.005123290698975325, 'sadness': 0.024894509464502335, 'anger': 0.005580703262239695, 'surprise': 0.0026726913638412952, 'disgust': 0.47963276505470276, 'fear': 0.00847848691046238}",disgust,"{'not ironic': 0.9093109369277954, 'ironic': 0.09068901836872101}",not ironic
"I rate this statement a 2 as the purpose of sharing the information under duress is driven by fear and a legitimate need to protect oneself from potential harm. The coercion and threat of violence create a legitimate need for self-preservation, which makes the sharing of information, despite its sensitivity, understandable in this context.","{'NEG': 0.04341704770922661, 'NEU': 0.868944525718689, 'POS': 0.08763840049505234}",NEU,"{'others': 0.4236384332180023, 'joy': 0.004144287668168545, 'sadness': 0.015767471864819527, 'anger': 0.005717857275158167, 'surprise': 0.0029717041179537773, 'disgust': 0.5396165251731873, 'fear': 0.00814363919198513}",disgust,"{'not ironic': 0.9401916265487671, 'ironic': 0.059808358550071716}",not ironic
"I rate this statement a 4 as people generally prioritize their safety and well-being, especially in situations involving explicit threats of violence. Under such circumstances, it is reasonable to assume that people might choose to share information in order to protect themselves and mitigate the risk to their physical safety.","{'NEG': 0.02499113790690899, 'NEU': 0.8868924975395203, 'POS': 0.0881163701415062}",NEU,"{'others': 0.9536698460578918, 'joy': 0.008027855306863785, 'sadness': 0.008923390880227089, 'anger': 0.0013127191923558712, 'surprise': 0.0022604705300182104, 'disgust': 0.008368771523237228, 'fear': 0.017436964437365532}",others,"{'not ironic': 0.9445782899856567, 'ironic': 0.055421702563762665}",not ironic
"In this hypothetical situation, the doctor's focus on relationship issues doesn't seem relevant to my situation's life threat. Sharing personal relationship problems with a doctor is unrelated to the life-threatening situation at hand.","{'NEG': 0.8389849066734314, 'NEU': 0.15788017213344574, 'POS': 0.0031349642667919397}",NEG,"{'others': 0.9704190492630005, 'joy': 0.006558563094586134, 'sadness': 0.0024560214951634407, 'anger': 0.001162483706139028, 'surprise': 0.0022287729661911726, 'disgust': 0.010220280848443508, 'fear': 0.0069549488835036755}",others,"{'not ironic': 0.8012579083442688, 'ironic': 0.1987420916557312}",not ironic
"I believe that the type of information shared in this situation is appropriate

I'd rate this statement a 1. The doctor's focus on relationship issues doesn't seem relevant to the life-threatening situation you're facing. Sharing personal information about relationship problems might not be appropriate or relevant in this context. Given the urgency and severity of the situation, it's crucial to prioritize and focus on immediate medical needs. It may be more beneficial to discuss any relationship matters with a mental health professional or a counselor in a less stressful environment once the immediate medical situation is addressed.","{'NEG': 0.08020173013210297, 'NEU': 0.8880336880683899, 'POS': 0.03176455199718475}",NEU,"{'others': 0.8791165351867676, 'joy': 0.0043381135910749435, 'sadness': 0.005542532075196505, 'anger': 0.002778263995423913, 'surprise': 0.002188117476180196, 'disgust': 0.09628432989120483, 'fear': 0.009752118028700352}",others,"{'not ironic': 0.9363614916801453, 'ironic': 0.06363851577043533}",not ironic
"I rate this statement a 4 as doctors, by nature, are subject to strict medical ethics, patient-confidentiality policies, and professional codes of conduct. It is reasonable to expect a doctor to handle sensitive health information with professionalism and respect for privacy, as this is a fundamental aspect of their training and practice. Even if the information shared isn't directly related to the medical emergency, doctors are generally expected to maintain a high standard of ethical conduct in their interactions with patients and their families.","{'NEG': 0.009286501444876194, 'NEU': 0.5952727198600769, 'POS': 0.39544084668159485}",NEU,"{'others': 0.9470120072364807, 'joy': 0.012957499362528324, 'sadness': 0.018411807715892792, 'anger': 0.0013391011161729693, 'surprise': 0.0022189042065292597, 'disgust': 0.010197525843977928, 'fear': 0.00786321796476841}",others,"{'not ironic': 0.9246016144752502, 'ironic': 0.07539838552474976}",not ironic
"I rate this statement a 1 as the purpose of sharing relationship issues with a doctor during a life-threatening situation is not appropriate or relevant. The primary focus should be addressing the immediate medical needs and stabilizing the patient's condition. Discussing personal relationship matters with a doctor at a time of medical jeopardy can lead to unnecessary distractions and misallocation of resources. Therefore, the purpose for sharing such information in this specific situation is not legitimate.","{'NEG': 0.8406379818916321, 'NEU': 0.15567584335803986, 'POS': 0.003686219220981002}",NEG,"{'others': 0.6813058257102966, 'joy': 0.004669125657528639, 'sadness': 0.006222357973456383, 'anger': 0.004418304190039635, 'surprise': 0.0025858376175165176, 'disgust': 0.2934960126876831, 'fear': 0.007302508223801851}",others,"{'not ironic': 0.8843167424201965, 'ironic': 0.11568332463502884}",not ironic
"I rate this statement a 2 as most people would understand the limited relevance of relationship issues in a life-threatening medical situation. Priorities tend to shift towards more pressing and medical matters during emergencies. Therefore, it's reasonable to expect that individuals would prioritize sharing information that pertains to the medical crisis at hand, rather than personal relationship issues.","{'NEG': 0.04474552348256111, 'NEU': 0.8787906765937805, 'POS': 0.07646381855010986}",NEU,"{'others': 0.9598051905632019, 'joy': 0.006492089945822954, 'sadness': 0.005566692911088467, 'anger': 0.0012069666991010308, 'surprise': 0.001837369753047824, 'disgust': 0.01732603833079338, 'fear': 0.007765758782625198}",others,"{'not ironic': 0.9345251321792603, 'ironic': 0.06547489017248154}",not ironic
"I'd rate this statement a 4 as discussing relationship problems with concerned parents would likely receive a sympathetic response. Since they're genuinely worried about your well-being, sharing the reason for your strange behavior can help them understand the situation better and provide more focused support. Given their close relationship with you, it's reasonable to expect a positive and supportive reaction from your parents.","{'NEG': 0.008234248496592045, 'NEU': 0.5046987533569336, 'POS': 0.48706698417663574}",NEU,"{'others': 0.9773316979408264, 'joy': 0.00948728621006012, 'sadness': 0.0020273446571081877, 'anger': 0.0007712332881055772, 'surprise': 0.0022567720152437687, 'disgust': 0.004220745526254177, 'fear': 0.00390494242310524}",others,"{'not ironic': 0.9134330153465271, 'ironic': 0.0865669995546341}",not ironic
"I believe that the type of information shared in this situation is appropriate.

I rate this statement a 5 as sharing relationship problems with concerned parents is suitable in this situation. Parents are likely to empathize and provide emotional support when faced with their child's distress. This type of information is appropriate and relevant to the situation, as it addresses the parents' concerns and helps them better understand the source of your unusual behavior.","{'NEG': 0.0036053864751011133, 'NEU': 0.29152166843414307, 'POS': 0.7048729658126831}",POS,"{'others': 0.9655457139015198, 'joy': 0.015332525596022606, 'sadness': 0.006963676307350397, 'anger': 0.0009579836623743176, 'surprise': 0.0017773975851014256, 'disgust': 0.00333160231821239, 'fear': 0.0060910857282578945}",others,"{'not ironic': 0.9483446478843689, 'ironic': 0.0516553670167923}",not ironic
"I rate this statement a 5 as parents are likely to handle the information with care and respect. Given their close relationship with you, they likely understand the sensitivity of your feelings and will approach the conversation with empathy and sensitivity. As a caring and concerned family member, they will likely treat the information shared with respect, understanding the emotional impact it has on you.","{'NEG': 0.0020293600391596556, 'NEU': 0.12957602739334106, 'POS': 0.8683946132659912}",POS,"{'others': 0.9645592570304871, 'joy': 0.016580749303102493, 'sadness': 0.007432201877236366, 'anger': 0.0010481374338269234, 'surprise': 0.0019332125084474683, 'disgust': 0.004166068974882364, 'fear': 0.004280323628336191}",others,"{'not ironic': 0.9466770887374878, 'ironic': 0.053322933614254}",not ironic
"I rate this statement a 5 as the purpose behind sharing relationship problems with concerned parents is understandable and appropriate. The primary objective is to provide emotional support and guidance, which is a legitimate and important purpose. Sharing your relationship issues with your parents can help them understand your feelings and provide comfort, as they are likely to offer a compassionate and supportive perspective.","{'NEG': 0.001962318317964673, 'NEU': 0.14637024700641632, 'POS': 0.8516675233840942}",POS,"{'others': 0.9586358070373535, 'joy': 0.028981197625398636, 'sadness': 0.004182612523436546, 'anger': 0.0008507487364113331, 'surprise': 0.0019139108480885625, 'disgust': 0.002130401087924838, 'fear': 0.003305216785520315}",others,"{'not ironic': 0.9348323941230774, 'ironic': 0.0651676207780838}",not ironic
"I rate this statement a 5 as most people would share information about relationship problems with their concerned parents. Parents typically have a close bond with their children, and they are often seen as trustworthy confidants. In situations where someone is experiencing distress, there's a natural tendency to seek comfort and support from trusted family members. Therefore, it's common for individuals to open up to their parents about personal matters, including relationship problems.","{'NEG': 0.0030376045033335686, 'NEU': 0.2645774185657501, 'POS': 0.732384979724884}",POS,"{'others': 0.9456273317337036, 'joy': 0.02638806588947773, 'sadness': 0.016179585829377174, 'anger': 0.001040821080096066, 'surprise': 0.0018038336420431733, 'disgust': 0.003685083007439971, 'fear': 0.005275252740830183}",others,"{'not ironic': 0.9293760657310486, 'ironic': 0.07062392681837082}",not ironic
"I rate this statement a 5, as it's appropriate and beneficial to share your relationship problems with your best friend. Your best friend likely wants to understand and support you during this challenging time. Sharing your situation with them allows them to offer empathy, advice, or just a listening ear. Given the close bond you have with your best friend, you can trust them to handle the information with care and respect. It's important to have support during tough times, and your best friend can provide a safe space for you to open up and seek comfort.","{'NEG': 0.0016987533308565617, 'NEU': 0.09910595417022705, 'POS': 0.8991952538490295}",POS,"{'others': 0.8888229727745056, 'joy': 0.08056112378835678, 'sadness': 0.01816498301923275, 'anger': 0.001189995207823813, 'surprise': 0.0020762181375175714, 'disgust': 0.0024821306578814983, 'fear': 0.006702577229589224}",others,"{'not ironic': 0.9442809820175171, 'ironic': 0.055719029158353806}",not ironic
"I rate this statement a 4, as sharing relationship problems with a best friend is common. It's natural to seek advice, support, or just someone to listen to your concerns. Sharing such information with a trusted friend can provide emotional relief, especially if the relationship issues are causing distress. The information shared is appropriate in this context, and the connection you have with your best friend can provide a supportive environment for discussing personal matters.","{'NEG': 0.0018966399366036057, 'NEU': 0.08684907108545303, 'POS': 0.9112542867660522}",POS,"{'others': 0.9482978582382202, 'joy': 0.0388316810131073, 'sadness': 0.00426151417195797, 'anger': 0.0008010863675735891, 'surprise': 0.0018402279820293188, 'disgust': 0.0021156538277864456, 'fear': 0.003851883811876178}",others,"{'not ironic': 0.9500797986984253, 'ironic': 0.04992024227976799}",not ironic
"I rate this statement a 4, as I am confident that a best friend, given the close bond you share, is likely to handle the information responsibly and respectfully. A friend who genuinely cares about your well-being will take care not to pass judgment, gossip, or misuse the information you've shared. The trust and understanding in a best friend relationship provide a foundation for responsible handling of sensitive information, even when dealing with complex topics like relationship problems.","{'NEG': 0.001761661027558148, 'NEU': 0.045920420438051224, 'POS': 0.9523178339004517}",POS,"{'others': 0.9563050866127014, 'joy': 0.02454879693686962, 'sadness': 0.007612884510308504, 'anger': 0.0009539453312754631, 'surprise': 0.0015740743838250637, 'disgust': 0.004408903885632753, 'fear': 0.004596203565597534}",others,"{'not ironic': 0.9533495903015137, 'ironic': 0.04665039852261543}",not ironic
"I rate this statement a 4, as the purpose of sharing relationship problems with a best friend is legitimate. This best friend is likely supportive, and their primary motive is likely to provide comfort and understanding. The act of sharing seeks to address emotional needs and build stronger bonds. The legitimate purpose of seeking solace and support through communication is a common and accepted practice in best friend relationships, especially when dealing with personal struggles.","{'NEG': 0.001776045886799693, 'NEU': 0.09784947335720062, 'POS': 0.9003744721412659}",POS,"{'others': 0.9557263255119324, 'joy': 0.02425256371498108, 'sadness': 0.009905001148581505, 'anger': 0.0009024908067658544, 'surprise': 0.0019478608155623078, 'disgust': 0.0031297632958739996, 'fear': 0.004135913215577602}",others,"{'not ironic': 0.9412265419960022, 'ironic': 0.0587734617292881}",not ironic
"I rate the statement a 5, as it's common for people to share relationship problems with their best friend. Most people consider their best friends as a safe space where they can openly talk about personal issues. Therefore, it's natural to assume that most people would share such information with their best friend, given the trusting and supportive nature of a best friend relationship. The recipient in this scenario, the best friend, is likely to offer empathy and understanding, making it an appropriate choice.","{'NEG': 0.002672635717317462, 'NEU': 0.2776496112346649, 'POS': 0.7196778059005737}",POS,"{'others': 0.9676563143730164, 'joy': 0.012376729398965836, 'sadness': 0.007816066034138203, 'anger': 0.0008468956802971661, 'surprise': 0.002010858152061701, 'disgust': 0.004774406552314758, 'fear': 0.004518650472164154}",others,"{'not ironic': 0.8552188277244568, 'ironic': 0.14478114247322083}",not ironic
"I feel that this situation is not okay. Regardless of the consequences, being coerced to reveal sensitive information against your will by a bully is not acceptable. Threatening violence is unacceptable behavior, and as a responsible person, I would try to avoid engaging.
In this situation, my instincts would be to remain silent to avoid further escalation.","{'NEG': 0.9635059833526611, 'NEU': 0.03413704037666321, 'POS': 0.0023569511249661446}",NEG,"{'others': 0.7495413422584534, 'joy': 0.010296928696334362, 'sadness': 0.04066133126616478, 'anger': 0.0039519257843494415, 'surprise': 0.0024835672229528427, 'disgust': 0.03146529570221901, 'fear': 0.16159965097904205}",others,"{'not ironic': 0.9589123129844666, 'ironic': 0.04108768329024315}",not ironic
"I rate this statement a 1. Sharing information under coercion and threats is never acceptable. Revealing someone else's relationship challenges without their consent is unethical and disrespectful to the person's privacy. Furthermore, the violent threat posed by the bully makes the situation even more concerning, highlighting the importance of seeking help and addressing the bullying behavior rather than submitting to the bully's demands, especially when it crosses ethical boundaries.","{'NEG': 0.9319945573806763, 'NEU': 0.0652945265173912, 'POS': 0.0027108723297715187}",NEG,"{'others': 0.01727777160704136, 'joy': 0.0009837265824899077, 'sadness': 0.0043780263513326645, 'anger': 0.006372865289449692, 'surprise': 0.0012465278850868344, 'disgust': 0.9675090312957764, 'fear': 0.00223204935900867}",disgust,"{'not ironic': 0.8763335347175598, 'ironic': 0.12366648763418198}",not ironic
"I rate this statement a 0 as the bully has already demonstrated a lack of respect for personal boundaries and ethical conduct. Threatening violence to gain information indicates a disregard for the seriousness of the situation and the potential harm it could cause to both me and the person the information relates to. In this scenario, the recipient is the bully, who has already demonstrated inappropriate and harmful behavior, making it clear that they are not trustworthy or capable of handling the information responsibly. The risk is too high, and the consequences could besevere.","{'NEG': 0.9731104373931885, 'NEU': 0.024714583531022072, 'POS': 0.0021749509032815695}",NEG,"{'others': 0.05941610783338547, 'joy': 0.001408850192092359, 'sadness': 0.006057398859411478, 'anger': 0.008688594214618206, 'surprise': 0.0013393486151471734, 'disgust': 0.9030742645263672, 'fear': 0.020015444606542587}",disgust,"{'not ironic': 0.8975995182991028, 'ironic': 0.10240047425031662}",not ironic
"I rate this statement a 0 as no purpose would justify revealing personal information under threats. The bully's intentions are harmful and unethical. There is no legitimate reason to share personal information as an alternative to physical harm, and doing so would only contribute to the bully's harmful behavior.","{'NEG': 0.9699835777282715, 'NEU': 0.027701979503035545, 'POS': 0.002314414596185088}",NEG,"{'others': 0.0501977875828743, 'joy': 0.0013709738850593567, 'sadness': 0.004283780697733164, 'anger': 0.006991696078330278, 'surprise': 0.0014726129593327641, 'disgust': 0.9324761629104614, 'fear': 0.0032069473527371883}",disgust,"{'not ironic': 0.9329430460929871, 'ironic': 0.06705693900585175}",not ironic
"I rate this statement a 0 as assuming that most people would share information under coercion from a bully is not accurate. People generally value their safety and would likely prioritize that. The fact that the information is being extracted through fear of physical harm makes it clear that the purpose is illegitimate and the outcome is not legitimate. No responsible person would accept such unacceptable behavior, and most would resist or take other actions to protect themselves.","{'NEG': 0.9194784760475159, 'NEU': 0.07805990427732468, 'POS': 0.0024616315495222807}",NEG,"{'others': 0.05884849652647972, 'joy': 0.001470419461838901, 'sadness': 0.008905112743377686, 'anger': 0.00571787403896451, 'surprise': 0.0016373572871088982, 'disgust': 0.9194589853286743, 'fear': 0.003961658570915461}",disgust,"{'not ironic': 0.9086776971817017, 'ironic': 0.09132228791713715}",not ironic
"I would feel concerned and uncomfortable about sharing this information in this situation. While I understand the doctor's primary concern is my physical wellbeing, I would also be wary of divulging sensitive information about my financial problems to a third party like a doctor as it is not directly related to the life-threatening situation.","{'NEG': 0.5930147171020508, 'NEU': 0.40161842107772827, 'POS': 0.005366918630897999}",NEG,"{'others': 0.0873417854309082, 'joy': 0.0033543440513312817, 'sadness': 0.012723928317427635, 'anger': 0.002858903259038925, 'surprise': 0.0030412166379392147, 'disgust': 0.018465254455804825, 'fear': 0.8722145557403564}",fear,"{'not ironic': 0.9458818435668945, 'ironic': 0.054118141531944275}",not ironic
