RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"You've had a pretty solid support system growing up, haven't you? Parents and a best friend like Richard can make all the difference.","{'NEG': 0.0023535534273833036, 'NEU': 0.17155534029006958, 'POS': 0.8260911703109741}",POS,"{'others': 0.41506415605545044, 'joy': 0.5665168166160583, 'sadness': 0.009557710029184818, 'anger': 0.0015712049789726734, 'surprise': 0.003094613552093506, 'disgust': 0.0024085526820272207, 'fear': 0.001787014538422227}",joy,"{'not ironic': 0.747620165348053, 'ironic': 0.25237980484962463}",not ironic
"Those experiences can leave a lasting impact. It makes sense that you'd be more cautious about your personal space after going through that. What's on your mind, what do you want to know about my take on privacy?","{'NEG': 0.0045552439987659454, 'NEU': 0.7907192707061768, 'POS': 0.2047254592180252}",NEU,"{'others': 0.9697703123092651, 'joy': 0.00573651073500514, 'sadness': 0.0028437001165002584, 'anger': 0.0014441701350733638, 'surprise': 0.002835193183273077, 'disgust': 0.007826502434909344, 'fear': 0.009543614462018013}",others,"{'not ironic': 0.947500467300415, 'ironic': 0.05249956250190735}",not ironic
"I'd rate that 10. To me, your sexual orientation doesn't define our friendship or how I perceive you as a person. I consider it a personal aspect of your life, but not something that affects our dynamic.","{'NEG': 0.007871941663324833, 'NEU': 0.8248159885406494, 'POS': 0.1673121154308319}",NEU,"{'others': 0.9659731984138489, 'joy': 0.019799798727035522, 'sadness': 0.004100778140127659, 'anger': 0.0008753311703912914, 'surprise': 0.0029163085855543613, 'disgust': 0.0025550571735948324, 'fear': 0.003779481863602996}",others,"{'not ironic': 0.9589623808860779, 'ironic': 0.041037604212760925}",not ironic
"I'd rate that 40. Health issues can affect daily life, but unless it's a severe condition, it's relatively personal info that isn't usually shared casually, but might be mentioned among close friends.","{'NEG': 0.019794970750808716, 'NEU': 0.9594767093658447, 'POS': 0.020728260278701782}",NEU,"{'others': 0.9753133654594421, 'joy': 0.007813999429345131, 'sadness': 0.0035993498750030994, 'anger': 0.0009469847427681088, 'surprise': 0.002419048687443137, 'disgust': 0.00578302750363946, 'fear': 0.004124178551137447}",others,"{'not ironic': 0.9524736404418945, 'ironic': 0.04752637818455696}",not ironic
"I'd rate that 60. I consider religious affiliations somewhat sensitive information, especially in cases where there may be prejudice or judgment involved. It's a personal aspect of one's identity and values.","{'NEG': 0.01229002047330141, 'NEU': 0.9507088661193848, 'POS': 0.03700117766857147}",NEU,"{'others': 0.9537293910980225, 'joy': 0.005763850640505552, 'sadness': 0.010841176845133305, 'anger': 0.0019391371170058846, 'surprise': 0.0022957753390073776, 'disgust': 0.018814560025930405, 'fear': 0.006616080645471811}",others,"{'not ironic': 0.9548546075820923, 'ironic': 0.0451454259455204}",not ironic
"I'd rate that 90. Relationship troubles, especially infidelity, are deeply personal and emotional. Sharing that kind of information can make someone feel vulnerable and exposed.","{'NEG': 0.1635107398033142, 'NEU': 0.8078820705413818, 'POS': 0.02860717847943306}",NEU,"{'others': 0.514659583568573, 'joy': 0.0036800161469727755, 'sadness': 0.013261795975267887, 'anger': 0.005868670530617237, 'surprise': 0.003731850301846862, 'disgust': 0.4485984444618225, 'fear': 0.010199621319770813}",others,"{'not ironic': 0.9356900453567505, 'ironic': 0.0643099695444107}",not ironic
"I'd rate that 20. Exam stress is stressful, and admitting to struggling with it can show vulnerability. But it's still a fairly common experience, so it's not entirely private, but rather a sign of needing help.","{'NEG': 0.2598193883895874, 'NEU': 0.6949587464332581, 'POS': 0.04522186517715454}",NEU,"{'others': 0.9676198363304138, 'joy': 0.018909821286797523, 'sadness': 0.00405292259529233, 'anger': 0.0009644136298447847, 'surprise': 0.0019236663356423378, 'disgust': 0.002328864298760891, 'fear': 0.004200451076030731}",others,"{'not ironic': 0.9568175673484802, 'ironic': 0.04318240284919739}",not ironic
"I'd rate that 80. Financial struggles can be embarrassing and affect one's reputation, so it's natural to keep them private, especially when owing money to someone close like a classmate.","{'NEG': 0.08590366691350937, 'NEU': 0.863075852394104, 'POS': 0.051020439714193344}",NEU,"{'others': 0.8690387606620789, 'joy': 0.0051994044333696365, 'sadness': 0.006680597085505724, 'anger': 0.002698394702747464, 'surprise': 0.0025044477079063654, 'disgust': 0.10795815289020538, 'fear': 0.005920174531638622}",others,"{'not ironic': 0.9453110694885254, 'ironic': 0.054688967764377594}",not ironic
I'd rate that 15. Plans for studying abroad aren't typically considered sensitive information - many people openly share their ambitions and aspirations. It might show enthusiasm and goals rather than vulnerability.,"{'NEG': 0.006919948384165764, 'NEU': 0.62618088722229, 'POS': 0.36689916253089905}",NEU,"{'others': 0.9757375717163086, 'joy': 0.014032486826181412, 'sadness': 0.001497001270763576, 'anger': 0.0008231363608501852, 'surprise': 0.0028827700298279524, 'disgust': 0.0023275399580597878, 'fear': 0.002699535572901368}",others,"{'not ironic': 0.9464558959007263, 'ironic': 0.053544074296951294}",not ironic
"I'd rate that 30. While personal values like being vegetarian can be significant to someone, they aren't usually considered deeply private information. Many people openly discuss their lifestyle choices and values.","{'NEG': 0.005335765890777111, 'NEU': 0.9245677590370178, 'POS': 0.07009642571210861}",NEU,"{'others': 0.9734401702880859, 'joy': 0.013597914949059486, 'sadness': 0.0036560914013534784, 'anger': 0.0008784175734035671, 'surprise': 0.0023283830378204584, 'disgust': 0.0033383541740477085, 'fear': 0.002760595642030239}",others,"{'not ironic': 0.956941545009613, 'ironic': 0.04305841401219368}",not ironic
"That sounds amazing, having such a strong support system with your parents and Richard; what's it like having a friend like Richard who's been by your side for so long?","{'NEG': 0.001304380246438086, 'NEU': 0.0115814795717597, 'POS': 0.9871140718460083}",POS,"{'others': 0.025581752881407738, 'joy': 0.9658907055854797, 'sadness': 0.0027541164308786392, 'anger': 0.0013562850654125214, 'surprise': 0.0020048674196004868, 'disgust': 0.0012060431763529778, 'fear': 0.0012062381720170379}",joy,"{'not ironic': 0.07437596470117569, 'ironic': 0.9256239533424377}",ironic
"It makes sense that going through tough times would make you more empathetic towards others dealing with similar struggles; regarding my views on privacy, I value discretion highly, especially when it involves people close to me - I believe in respecting individuals' boundaries and keeping sensitive information confidential.","{'NEG': 0.004075632430613041, 'NEU': 0.2879948914051056, 'POS': 0.7079294919967651}",POS,"{'others': 0.9390707015991211, 'joy': 0.011617769487202168, 'sadness': 0.027495140209794044, 'anger': 0.0015512392856180668, 'surprise': 0.002164239529520273, 'disgust': 0.00878565851598978, 'fear': 0.009315316565334797}",others,"{'not ironic': 0.6435614824295044, 'ironic': 0.35643845796585083}",not ironic
"0 - I rate it 0 because one's sexual orientation is deeply personal and private, and revealing it can lead to unwanted attention, prejudice, or harm; it's essential to respect individuals' autonomy over sharing such sensitive information.","{'NEG': 0.23084601759910583, 'NEU': 0.7567179203033447, 'POS': 0.012436052784323692}",NEU,"{'others': 0.5719772577285767, 'joy': 0.004928062669932842, 'sadness': 0.03290049359202385, 'anger': 0.005093634594231844, 'surprise': 0.003281450131908059, 'disgust': 0.36897748708724976, 'fear': 0.012841552495956421}",others,"{'not ironic': 0.9468361735343933, 'ironic': 0.05316374450922012}",not ironic
"80 - I rate it 80 because health issues like allergies or recurring headaches aren't usually considered deeply personal secrets, but some people might still be private about their health due to concerns about being judged or treated differently; generally though, it's not extremely sensitive information.","{'NEG': 0.042449891567230225, 'NEU': 0.9341890811920166, 'POS': 0.023360978811979294}",NEU,"{'others': 0.971930980682373, 'joy': 0.009775287471711636, 'sadness': 0.005021651741117239, 'anger': 0.0009939793962985277, 'surprise': 0.002230097074061632, 'disgust': 0.004816369619220495, 'fear': 0.005231575574725866}",others,"{'not ironic': 0.959968090057373, 'ironic': 0.04003198817372322}",not ironic
"40 - I rate it 40 because having certain personal principles like religious affiliation isn't typically considered sensitive, but it can still spark debate or judgment depending on the context and audience.","{'NEG': 0.019305376335978508, 'NEU': 0.9122573733329773, 'POS': 0.06843729317188263}",NEU,"{'others': 0.9775121808052063, 'joy': 0.007821684703230858, 'sadness': 0.002677782904356718, 'anger': 0.0009749266901053488, 'surprise': 0.0026809806004166603, 'disgust': 0.005363455042243004, 'fear': 0.002968914108350873}",others,"{'not ironic': 0.9604361653327942, 'ironic': 0.039563845843076706}",not ironic
"5 - I rate it 5 because relationship problems, especially ones as personal as infidelity, are intensely private matters that can cause significant emotional distress; sharing such information without consent could lead to feelings of vulnerability and exposure.","{'NEG': 0.5721143484115601, 'NEU': 0.4182800352573395, 'POS': 0.009605593048036098}",NEG,"{'others': 0.1542525589466095, 'joy': 0.002066928893327713, 'sadness': 0.010669669136404991, 'anger': 0.00714210094884038, 'surprise': 0.002376507967710495, 'disgust': 0.8148772716522217, 'fear': 0.008614910766482353}",disgust,"{'not ironic': 0.9476715922355652, 'ironic': 0.052328404039144516}",not ironic
"20 - I rate it 20 because stress related to exams isn't extremely private information, people often openly discuss their struggles and pressures with friends and family, but it's still personal enough that sharing details without consent could be seen as intrusive.","{'NEG': 0.04286922514438629, 'NEU': 0.9139049053192139, 'POS': 0.04322583228349686}",NEU,"{'others': 0.9722422361373901, 'joy': 0.013599098660051823, 'sadness': 0.0033820129465311766, 'anger': 0.0008715366711840034, 'surprise': 0.001882551470771432, 'disgust': 0.003645090851932764, 'fear': 0.004377559758722782}",others,"{'not ironic': 0.9562554955482483, 'ironic': 0.043744441121816635}",not ironic
"10 - Financial struggles, especially debts owed to someone you interact with regularly, can be deeply embarrassing and may lead to feelings of vulnerability; sharing such information could jeopardize relationships or lead to unwanted advice or pressure.","{'NEG': 0.9440506100654602, 'NEU': 0.05316914990544319, 'POS': 0.002780337817966938}",NEG,"{'others': 0.8684472441673279, 'joy': 0.005016196984797716, 'sadness': 0.008127394132316113, 'anger': 0.0038429449778050184, 'surprise': 0.0021954525727778673, 'disgust': 0.09214341640472412, 'fear': 0.020227324217557907}",others,"{'not ironic': 0.9455230832099915, 'ironic': 0.054476965218782425}",not ironic
"90 - Plans to study abroad aren't typically considered sensitive information; many people share their plans with friends and family, and it's often seen as an exciting opportunity rather than something to hide.","{'NEG': 0.0024865297600626945, 'NEU': 0.2331414371728897, 'POS': 0.7643721103668213}",POS,"{'others': 0.9654378890991211, 'joy': 0.02438635565340519, 'sadness': 0.0020823078230023384, 'anger': 0.0007420715992338955, 'surprise': 0.0022616046480834484, 'disgust': 0.0026637099217623472, 'fear': 0.0024259104393422604}",others,"{'not ironic': 0.9339398145675659, 'ironic': 0.06606021523475647}",not ironic
"95 - Having certain personal principles like vegetarianism isn't typically considered sensitive; many people openly discuss and share their lifestyle choices with others, often sparking interesting conversations rather than judgment.","{'NEG': 0.004759990610182285, 'NEU': 0.5789387822151184, 'POS': 0.4163012206554413}",NEU,"{'others': 0.9705304503440857, 'joy': 0.011730164289474487, 'sadness': 0.004307942930608988, 'anger': 0.0009817167883738875, 'surprise': 0.0017250538803637028, 'disgust': 0.00738099729642272, 'fear': 0.003343723015859723}",others,"{'not ironic': 0.941157877445221, 'ironic': 0.05884213373064995}",not ironic
AVERAGE RESPONSE,"{'NEG': np.float64(0.1058987243178611), 'NEU': np.float64(0.5975366094149649), 'POS': np.float64(0.2965646640708049)}",NEU,"{'others': np.float64(0.8153837881361444), 'joy': np.float64(0.08740963751915842), 'sadness': np.float64(0.007687455582587669), 'anger': np.float64(0.0018850425471706937), 'surprise': np.float64(0.0025872578301156563), 'disgust': np.float64(0.07959210446182018), 'fear': np.float64(0.005454702628776431)}",others,"{'not ironic': np.float64(0.846881174047788), 'ironic': np.float64(0.15311882719397546)}",not ironic
